product_id,fy,volume,revenue,attributable_cost,volume_variable_cost,product_specific_cost,weight
127,2012,209577255.0,78550808.0,27529878.0,27529878.0,,13170096.0
101,2012,263547713.0,664957871.0,438547613.0,438077006.0,470608.0,55327950.842731
102,2012,201717508.0,126655171.0,192599269.0,192239069.0,360200.0,57282571.865
262,2012,69449805910.0,30307734632.0,14846051609.0,14799771344.0,46280266.0,3513061652.70773
21,2012,5563558746.0,766911151.0,346973333.0,344014253.0,2959081.0,233649637.0
22,2012,11770274971.0,1951068717.0,900140200.0,893879963.0,6260237.0,2147581510.0
23,2012,9119946416.0,2244292672.0,1720604590.0,1715753979.0,4850611.0,2002720546.0
25,2012,46146862880.0,8976934639.0,5045519559.0,5020467127.0,25052432.0,2420629510.0
26,2012,5939634513.0,2229587991.0,2761670371.0,2758511267.0,3159103.0,1495809033.0
27,2012,303558642.0,284858418.0,337852994.0,337715100.0,137894.0,126286463.0
139,2012,952843728.0,197109651.0,103884086.0,103884086.0,,42200330.0
263,2012,79796679896.0,16712568454.0,11216645133.0,11174225775.0,42419357.0,8468877028.999999
31,2012,631286455.0,66495595.0,95398328.0,95350354.0,47975.0,181788096.0
32,2012,6110064496.0,1656732110.0,2306203681.0,2305739345.0,464335.0,2353700254.0
264,2012,6741350951.0,1731485915.0,2401602009.0,2401089699.0,512310.0,2535488350.0
41,2012,70970777.0,774045694.0,840358984.0,840358984.0,,500018281.0
123,2012,1100908.0,20475203.0,11569930.0,11569930.0,,18953781.37
42,2012,230521640.0,185789917.0,138301818.0,138301818.0,,341023662.0
43,2012,243307816.0,305491623.0,281152111.0,281152111.0,,673444154.0
44,2012,100421982.0,320644600.0,376769966.0,376769966.0,,242752200.0
265,2012,646323123.0,1609696132.0,1648152809.0,1648152809.0,,1776192078.37
136,2012,190249613.0,127855362.0,152768854.0,152431601.0,337253.0,35777947.248795
85,2012,440452245.0,,,,,144762729.0
86,2012,56951576.0,,39585523.0,39585523.0,,24919141.0
51,2012,227054884.0,662806445.0,601868964.0,601812814.0,56150.0,
52,2012,702552.0,5926666.0,3603916.0,3603742.0,174.0,
54,2012,30115142.0,108509675.0,96968545.0,96961098.0,7447.0,
55,2012,2415040.0,39477066.0,30226123.0,30225526.0,597.0,
58,2012,2017035241.0,696702653.0,547851664.0,547352859.0,498805.0,
109,2012,0.0,30011741.0,22644479.0,22644479.0,,
73,2012,108841460.0,166260913.0,110473570.0,107623944.0,2849626.0,
266,2012,2386164319.0,,,,,
131,2012,39823055.0,801560870.0,467226544.0,460598339.0,6628205.0,40971347.0
141,2012,411423642.0,875653893.0,766718621.0,766718621.0,,139396168.0
132,2012,824201977.0,5939725959.0,4545341193.0,4494756905.0,50584288.0,1693667297.0
255,2012,984202117.0,1456216417.0,1105766568.0,1105757145.0,9423.0,1881748896.0
256,2012,273351770.0,1847237345.0,1225131286.0,1217353600.0,7777687.0,314369561.699953
3,2013,21448767244.0,10126157722.0,5905238271.0,5876844851.0,28393420.0,665686472.0
4,2013,1049160543.0,350788341.0,291436107.0,290047258.0,1388849.0,6698630.0
5,2013,22497927787.0,10476946063.0,6196674379.0,6166892110.0,29782269.0,672385102.0
8,2013,38724900764.0,14317473787.0,4604618460.0,4595749933.0,8868528.0,2115052371.0
9,2013,2419290077.0,586936085.0,195387597.0,194836584.0,551013.0,19750444.0
10,2013,41144190841.0,14904409872.0,4800006058.0,4790586517.0,9419541.0,2134802815.0
14,2013,1894431962.0,2513392697.0,1685662265.0,1683840092.0,1822173.0,386489748.0
19,2013,247186732.0,578737212.0,583502869.0,583468751.0,34118.0,77204462.0
127,2013,213528996.0,77482321.0,22835851.0,22835851.0,,0.0
101,2013,231474951.0,457641235.0,321531666.0,321047664.0,484002.0,30375576.659342
102,2013,225756733.0,149500375.0,227964460.0,227492414.0,472046.0,64077668.8
262,2013,66454498002.0,29294263943.0,13838177548.0,13796163398.0,42014149.0,3365335372.459342
21,2013,5711634513.0,805189444.0,341410956.0,339718521.0,1692435.0,252744038.0
22,2013,11337794242.0,1929849516.0,842701138.0,839341594.0,3359544.0,2050963085.0
23,2013,9507627108.0,2372735289.0,1778661312.0,1775844072.0,2817240.0,2026805573.0
25,2013,46754273578.0,9261274934.0,4902887443.0,4888726396.0,14161048.0,2456122706.0
26,2013,5568019413.0,2134129107.0,2514245821.0,2512595941.0,1649880.0,1398221753.0
27,2013,71966232.0,70314632.0,109644697.0,109629830.0,14867.0,22956141.0
139,2013,1036465402.0,217043939.0,93118798.0,93118798.0,,0.0
24,2013,974774141.0,138417928.0,38458075.0,38256706.0,201369.0,123640020.0
263,2013,80962554629.0,16985204553.0,10621128240.0,10597231858.0,23896382.0,8331453316.000001
31,2013,603253982.0,65380442.0,86970060.0,86915928.0,54132.0,176249514.0
32,2013,5755719484.0,1586133105.0,2092052299.0,2091535818.0,516480.0,2246057693.0
264,2013,6358973466.0,1658163879.0,2179022359.0,2178451747.0,570612.0,2422307207.0
41,2013,28675233.0,317642411.0,330644260.0,330588539.0,55721.0,196144681.0
45,2013,879067.0,21481384.0,10303520.0,10303520.0,,59362783.0
123,2013,828934.0,16520256.0,10756146.0,10756146.0,,13993764.38
42,2013,229611081.0,184768142.0,130417997.0,129971824.0,446173.0,350762135.0
43,2013,216386455.0,274587548.0,263130091.0,262709616.0,420475.0,568755952.0
44,2013,94523857.0,316437448.0,372401924.0,372218249.0,183676.0,229399165.0
265,2013,570904627.0,1134330933.0,1117653938.0,1116547894.0,1106044.0,1418418480.38
136,2013,162218634.0,133154006.0,148011475.0,147672536.0,338939.0,37522925.335201
85,2013,630936792.0,,,,,150147266.0
86,2013,54577309.0,,38462435.0,38462435.0,,23037844.0
51,2013,233944694.0,714989489.0,535194078.0,534918170.0,275908.0,
52,2013,486412.0,4431648.0,3700909.0,3700335.0,574.0,
54,2013,28079600.0,108436587.0,75780380.0,75747264.0,33116.0,
55,2013,2238483.0,35464857.0,27982154.0,27979514.0,2640.0,
58,2013,2545871816.0,514790310.0,242626345.0,239623812.0,3002533.0,
109,2013,23942720.0,36082644.0,18374567.0,18374567.0,,
73,2013,102506936.0,156128020.0,103265927.0,101088708.0,2177219.0,
266,2013,2937070661.0,,,,,
131,2013,39116172.0,794089592.0,419666810.0,404271412.0,15395398.0,38233143.0
141,2013,544333961.0,1191738939.0,1001675488.0,1000617757.0,1057731.0,185475775.0
132,2013,871365662.0,6374319878.0,4861058192.0,4798459038.0,62599154.0,1815870114.0
255,2013,1370835509.0,2469350800.0,1984613020.0,1984564066.0,48954.0,2411601470.0
256,2013,282130596.0,2222880976.0,1271027506.0,1261980554.0,9046952.0,319416852.590309
3,2014,20599373684.0,10128810167.0,5710345075.0,5682232932.0,28112143.0,631655739.0
4,2014,924941354.0,319122563.0,266490919.0,265228644.0,1262275.0,5910896.0
5,2014,21524315038.0,10447932730.0,5976835994.0,5947461576.0,29374418.0,637566635.0
8,2014,37995002961.0,14630289951.0,4560033697.0,4553467281.0,6566416.0,2143083168.0
9,2014,2198318071.0,558756688.0,184189493.0,183810600.0,378893.0,17946389.0
10,2014,40193321032.0,15189046639.0,4744223190.0,4737277881.0,6945309.0,2161029557.0
14,2014,1782673495.0,2491587140.0,1566096880.0,1564377881.0,1719000.0,366375725.0
19,2014,233115343.0,590870737.0,542758946.0,542738267.0,20679.0,71315962.0
127,2014,103014231.0,39074270.0,12638178.0,12638178.0,,0.0
101,2014,215536038.0,307870658.0,188415124.0,188009126.0,405999.0,13239451.371235
102,2014,242237939.0,174508112.0,249311486.0,248855190.0,456296.0,70665730.144444
262,2014,64294213116.0,29408144874.0,13280279798.0,13241358097.0,38921701.0,3320193060.51568
21,2014,5970133065.0,879736988.0,369705850.0,368931080.0,774770.0,248105202.0
22,2014,11278633131.0,2005555660.0,881091238.0,879625860.0,1465378.0,2040307539.0
23,2014,8980116183.0,2364039795.0,1685677065.0,1684505770.0,1171295.0,1961126385.0
25,2014,47571876132.0,9817517794.0,4895394972.0,4889156498.0,6238474.0,2446219417.0
26,2014,5054394637.0,2037354494.0,2497007981.0,2496351043.0,656938.0,1292884601.0
27,2014,65845949.0,67966582.0,102539182.0,102536145.0,3037.0,23062029.0
139,2014,566250828.0,118414055.0,63297687.0,63297687.0,,0.0
24,2014,890148175.0,148999953.0,39302068.0,39261008.0,41060.0,112906092.0
263,2014,80377398100.0,17496670696.0,10534016044.0,10523665091.0,10350953.0,8124611265.0
31,2014,586130341.0,66606500.0,85689360.0,85640333.0,49028.0,171805358.0
32,2014,5458584188.0,1552222569.0,2048482977.0,2048026384.0,456593.0,2103171584.0
264,2014,6044714529.0,1625340235.0,2134172337.0,2133666717.0,505620.0,2274976942.0
45,2014,1289894.0,33106814.0,16379641.0,16379641.0,,87001507.0
123,2014,905725.0,18075624.0,12860419.0,12860419.0,,14128420.17
42,2014,249745014.0,201907028.0,134279322.0,133953536.0,325787.0,392470549.0
43,2014,211976699.0,272314097.0,251150845.0,250874326.0,276519.0,523593756.0
44,2014,86304499.0,307788493.0,328095460.0,327982878.0,112582.0,210208731.0
265,2014,550221831.0,835864105.0,742765687.0,742050800.0,714888.0,1227402963.17
136,2014,158534755.0,164245432.0,143060955.0,142710800.0,350156.0,48448057.665987
85,2014,454257974.0,,,,,113679215.0
86,2014,47386127.0,,39504377.0,39504377.0,,21481626.0
51,2014,212518553.0,687317197.0,542238347.0,542229844.0,8503.0,
52,2014,363771.0,3597863.0,2673242.0,2673227.0,15.0,
54,2014,19632879.0,91612631.0,63451492.0,63450707.0,785.0,
55,2014,2185660.0,34933311.0,28625099.0,28625012.0,87.0,
58,2014,3114870915.0,525229762.0,259634880.0,259510257.0,124623.0,
109,2014,26720721.0,41099345.0,12773877.0,12773877.0,,
73,2014,96962545.0,165260986.0,99651163.0,97275910.0,2375253.0,
266,2014,3473255044.0,2060093636.0,1331240903.0,1324522245.0,6870500.0,
131,2014,36230538.0,759843414.0,365505465.0,360666165.0,4839300.0,37073345.0
141,2014,634615250.0,1461841635.0,1154758494.0,1153930653.0,827841.0,219823762.0
132,2014,920083158.0,6883897939.0,5234390061.0,5131947908.0,102442153.0,1989049145.0
255,2014,1575595774.0,3160337051.0,2472028588.0,2471981596.0,46992.0,2987926661.0
256,2014,281480419.0,2318979294.0,1384701123.0,1373866497.0,10834626.0,313275837.017546
3,2015,19737174057.0,9958137528.0,5304197478.0,5282791466.0,21406012.0,602259114.0
4,2015,838953685.0,296549208.0,210257519.0,209347630.0,909889.0,5358105.0
5,2015,20576127742.0,10254686736.0,5514454997.0,5492139096.0,22315901.0,607617219.0
8,2015,38004706624.0,14981115192.0,4702972049.0,4697009672.0,5962377.0,2193023839.0
9,2015,2169536984.0,569485641.0,173391031.0,173050662.0,340368.0,17714730.0
10,2015,40174243608.0,15550600833.0,4876363079.0,4870060334.0,6302745.0,2210738569.0
14,2015,1668897454.0,2357692767.0,1559381467.0,1558138716.0,1242751.0,339480480.0
19,2015,200099524.0,544684491.0,486325799.0,486311116.0,14683.0,61725308.0
127,2015,0.0,,,,,0.0
101,2015,212184026.0,314797229.0,169418009.0,169025083.0,392925.0,13260443.52386
102,2015,318284529.0,250676825.0,348601250.0,348011847.0,589404.0,99609846.24
262,2015,63149836883.0,29420792484.0,12954544600.0,12923686192.0,30858409.0,3332431865.76386
21,2015,6478281135.0,991348982.0,453729563.0,452925733.0,803830.0,263617628.0
22,2015,11232312962.0,2037022233.0,1175671949.0,1174272726.0,1399223.0,2032941946.0
23,2015,8291047830.0,2236805028.0,1706626312.0,1705576409.0,1049903.0,1828308508.0
25,2015,47720675229.0,10022981687.0,4930232640.0,4924311420.0,5921220.0,2397006951.0
26,2015,5248504828.0,2106185410.0,2627914611.0,2627261923.0,652688.0,1347178278.0
27,2015,60420263.0,65093448.0,89402483.0,89400032.0,2451.0,22646390.0
139,2015,226464345.0,53391496.0,45718770.0,45718770.0,,0.0
24,2015,832565997.0,148385386.0,51542191.0,51508412.0,33779.0,105602388.0
263,2015,80090272589.0,17711220094.0,11080838518.0,11070975425.0,9863093.0,7997302089.0
31,2015,570817290.0,66014812.0,88626924.0,88579256.0,47668.0,163940689.0
32,2015,5267357638.0,1515353664.0,2012450279.0,2012010409.0,439871.0,2003821270.0
264,2015,5838174928.0,1589220319.0,2101077203.0,2100589664.0,487539.0,2167761959.0
45,2015,1282023.0,33761808.0,19147372.0,19147372.0,,86473769.0
42,2015,260492159.0,212355572.0,151082172.0,151011885.0,70288.0,411427541.0
43,2015,227911450.0,283462427.0,238769508.0,238708012.0,61497.0,553967264.0
44,2015,74890440.0,273736146.0,359082639.0,359062431.0,20207.0,183322727.0
265,2015,564576072.0,806076824.0,768081692.0,767929700.0,151992.0,1235191301.0
136,2015,155407543.0,176641631.0,153582809.0,153241509.0,341300.0,56564851.99
85,2015,354627684.0,,,,,112725503.0
86,2015,45134575.0,,41293509.0,41293509.0,,18315492.0
51,2015,196722941.0,659186199.0,485361326.0,485361234.0,92.0,
52,2015,319455.0,3115822.0,3026231.0,3026231.0,,
